Activation,n_seeds,Dice_ET_mean,Dice_ET_sd,Dice_TC_mean,Dice_TC_sd,Dice_WT_mean,Dice_WT_sd,Dice_NCR_mean,Dice_NCR_sd,Dice_ED_mean,Dice_ED_sd,HD95_ET_mean,HD95_ET_sd,HD95_TC_mean,HD95_TC_sd,HD95_WT_mean,HD95_WT_sd,HD95_NCR_mean,HD95_NCR_sd,HD95_ED_mean,HD95_ED_sd,Sens_ET_mean,Sens_ET_sd,Sens_TC_mean,Sens_TC_sd,Sens_WT_mean,Sens_WT_sd,Sens_NCR_mean,Sens_NCR_sd,Sens_ED_mean,Sens_ED_sd,Prec_ET_mean,Prec_ET_sd,Prec_TC_mean,Prec_TC_sd,Prec_WT_mean,Prec_WT_sd,Prec_NCR_mean,Prec_NCR_sd,Prec_ED_mean,Prec_ED_sd
relu,3,0.8078581967946777,0.004466852107719888,0.8652397245613459,0.006561144289232637,0.8748729910013915,0.0024151186063684953,0.6607797094070219,0.01240596479828701,0.7872272607698773,0.005225544665590388,2.013001383077589,0.12989589235233046,2.7239900175646117,0.23251680366589406,2.298259615837475,0.05650462647534126,5.8938822567037485,0.7376971422314273,3.8767749007672805,0.37697689935048895,0.83965238143765,0.008353628578871912,0.8529362939777477,0.004372254521388799,0.8809055315724112,0.009785447626646904,0.6255439414494651,0.010494195984980524,0.8132048135528119,0.01715516892191254,0.7968993221327351,0.015141388928620164,0.8934116949845743,0.014422969832891352,0.88614884105819,0.007611460953530559,0.7796987686855736,0.008826788299838023,0.7905043738592598,0.008884909559684195
swish,3,0.8010603320860564,0.010665646116663756,0.8608141882986589,0.0082647024545263,0.8749688948458894,0.00516682145873748,0.6767642600577518,0.00342390272580899,0.7887780186103077,0.0056101690698913765,2.24880809813131,0.23315623024451734,2.8187298639493163,0.04897176947370563,2.3038981845614086,0.4627219651839226,7.2696554054345315,2.7074186072328126,3.5768356876343312,0.5813372837863506,0.799543192640707,0.04604479615471074,0.8366917520819358,0.02924285194068122,0.8828628315123837,0.011723440057139517,0.6561541850344453,0.01673611881339593,0.8227279169928212,0.019043732774444554,0.8290205863228676,0.028967539839116374,0.9048083294348178,0.017972942050067074,0.883662399515109,0.0178209089645275,0.7692248959413394,0.010017933732725344,0.7839699931002206,0.02714327808327153
prelu,3,0.799844370321582,0.0068997884119385445,0.8616089984683925,0.0071442619762574185,0.8745297905432216,0.0025305673586002862,0.6776707141224847,0.004238441076127349,0.7887904899161642,0.003084063032225056,2.374208748475743,0.4055120974083687,2.884846855742443,0.5871925420945302,2.205411079285497,0.16081900564339371,5.7452596933038755,0.5793160873395621,3.6002797935719006,0.3895937193726058,0.8056853907123126,0.02772972095426887,0.8335909899135898,0.01595744071397883,0.8854569836703382,0.004245764883812323,0.6473759884005644,0.022115823206938584,0.8287580281159737,0.0022062750700351528,0.823708141486589,0.02119113886994548,0.9085104470612334,0.011104511882298098,0.8809557560510651,0.0022687947339134424,0.7932791755234287,0.027272702108712722,0.7791148794763433,0.0027494645702994575
tanhexp,3,0.8098158739551047,0.004130384742671101,0.8651724087201118,0.0037270323448931443,0.8761820892092004,0.006040470936998485,0.665555456817262,0.004012941134924753,0.7873510357286376,0.006923902283515651,1.9959257052829233,0.1421871906304896,2.690980668989191,0.03575295313719222,2.1546602062751607,0.34813876766551194,5.730160268381767,0.24961959047233556,3.5618011910085907,0.3416179696247173,0.8313985168293158,0.0056708151553043745,0.8567280800700461,0.005826742882061476,0.8810286873089828,0.012604488004213413,0.6461124655398326,0.0147972312120002,0.8119289670695635,0.013166250121583694,0.8108778416148509,0.007837360694597083,0.8942769159647317,0.008323191838360968,0.8878138629651083,0.01090145444702948,0.7670183761725925,0.01145333734586724,0.7915524753384818,0.012824663089649583
