Seed,Activation,Metric,p_value,sig
1337,tanhexp,Sens_WT,0.2070606781947032,
1337,tanhexp,Sens_NCR,3.2108009397545565e-05,**
1337,tanhexp,Sens_ED,0.15369067110626455,
1337,tanhexp,Prec_ET,9.97213334843976e-09,**
1337,tanhexp,Prec_TC,0.10426321130750228,
1337,tanhexp,Prec_WT,0.5218701568290969,
1337,tanhexp,Prec_NCR,0.06121797312739318,
1337,tanhexp,Prec_ED,0.8323754899588182,
2025,swish,Dice_ET,0.945212935735109,
2025,swish,Dice_TC,0.1489899218319036,
2025,swish,Dice_WT,0.46635274654444925,
2025,swish,Dice_NCR,0.0001832261694709826,**
2025,swish,Dice_ED,0.013467877502082545,*
2025,swish,HD95_ET,0.049372470770963274,*
2025,swish,HD95_TC,0.9063428358855554,
2025,swish,HD95_WT,0.9568435711859501,
2025,swish,HD95_NCR,0.03378860115059022,*
2025,swish,HD95_ED,0.17661138797063314,
2025,swish,Sens_ET,3.6827898601844696e-11,**
2025,swish,Sens_TC,2.0150999178894025e-07,**
2025,swish,Sens_WT,0.09965715150908985,
2025,swish,Sens_NCR,1.0129627246426027e-07,**
2025,swish,Sens_ED,0.060888312841572936,
2025,swish,Prec_ET,7.414693597835593e-13,**
2025,swish,Prec_TC,3.2756628114211545e-05,**
2025,swish,Prec_WT,0.0010205850914065209,**
2025,swish,Prec_NCR,0.03951007345311524,*
2025,swish,Prec_ED,0.12305792935473525,
2025,prelu,Dice_ET,0.8625154343465833,
2025,prelu,Dice_TC,0.015922885608949354,*
2025,prelu,Dice_WT,0.8366672202477612,
2025,prelu,Dice_NCR,0.0009814715377378734,**
2025,prelu,Dice_ED,0.5768430621023575,
2025,prelu,HD95_ET,0.04235430689605949,*
2025,prelu,HD95_TC,0.05805993653705121,
2025,prelu,HD95_WT,0.9835791399832219,
2025,prelu,HD95_NCR,0.03088460315828995,*
2025,prelu,HD95_ED,0.5184463161592121,
2025,prelu,Sens_ET,4.953451934791987e-11,**
2025,prelu,Sens_TC,2.238054447910571e-06,**
2025,prelu,Sens_WT,1.9013885435234318e-06,**
2025,prelu,Sens_NCR,8.476924977327732e-09,**
2025,prelu,Sens_ED,4.3938151129620295e-09,**
2025,prelu,Prec_ET,5.823706248699423e-13,**
2025,prelu,Prec_TC,0.008252137150465381,**
2025,prelu,Prec_WT,6.993491235159193e-07,**
2025,prelu,Prec_NCR,0.001586671521199979,**
2025,prelu,Prec_ED,1.250318796450018e-08,**
2025,tanhexp,Dice_ET,0.1521113863413004,
2025,tanhexp,Dice_TC,0.7064838299491416,
2025,tanhexp,Dice_WT,0.9802631454202122,
2025,tanhexp,Dice_NCR,0.0318095557168172,*
2025,tanhexp,Dice_ED,0.9758783926932586,
2025,tanhexp,HD95_ET,0.5388400668270484,
2025,tanhexp,HD95_TC,0.6808276791459438,
2025,tanhexp,HD95_WT,0.26436848565179916,
2025,tanhexp,HD95_NCR,0.018883263496414063,*
2025,tanhexp,HD95_ED,0.47816448423110114,
2025,tanhexp,Sens_ET,0.001985616640688374,**
2025,tanhexp,Sens_TC,0.7435887854236042,
2025,tanhexp,Sens_WT,1.468261877628156e-08,**
2025,tanhexp,Sens_NCR,2.860247203741219e-08,**
2025,tanhexp,Sens_ED,1.0639432758301078e-08,**
2025,tanhexp,Prec_ET,6.414412572079551e-08,**
2025,tanhexp,Prec_TC,0.9714943687689405,
2025,tanhexp,Prec_WT,1.213851022413292e-07,**
2025,tanhexp,Prec_NCR,0.0005727119309144885,**
2025,tanhexp,Prec_ED,8.973407768591806e-08,**
