epoch,train_loss,val_loss,mean_dice,dice_bg,dice_ncr,dice_ed,dice_et,time,mem_gb
1,0.7792483968911944,0.49927301181329264,0.47911918296420897,0.9935194237812145,0.17207940684634276,0.6830528265721089,0.5822253154741751,91.02396559715271,14.324425728
2,0.42580642007492686,0.3982837320985021,0.6035625022408125,0.9952023641483204,0.4039116229962658,0.7269541548716055,0.679821728854566,41.09503626823425,14.358374912
3,0.4186662448620474,0.3686751590387241,0.6420618326545836,0.9953329692015777,0.44694618316921025,0.7479697755865149,0.7312695392080255,47.174657583236694,14.35955456
4,0.3848601581679808,0.36258722157091705,0.6584620616725972,0.9935913730312038,0.4941935438562084,0.7202054028575485,0.760987238304035,47.393664836883545,14.35955456
5,0.3670989568974521,0.32467448711395264,0.6976966412217767,0.9945951877413569,0.5701932391604861,0.7511528762611183,0.7717438082437258,41.842443227767944,14.35955456
6,0.3425786675432244,0.386200931023907,0.6213190288425566,0.9947520236711245,0.42624558911130234,0.6673550895742468,0.7703564078421206,47.538390159606934,14.35955456
7,0.34123447336055135,0.3047644874534091,0.7216385227065903,0.995473185101071,0.6190752145406362,0.7692188040630238,0.7766215495161108,45.8442018032074,14.35955456
8,0.33118694617941574,0.27651765338472417,0.7525328454133625,0.9953767576733151,0.6680605757880855,0.797460721956717,0.7920772384952854,46.70116949081421,14.35955456
9,0.32694210887357994,0.31775860206500905,0.7166222937337987,0.993424737775648,0.6234871598111617,0.7467626599041192,0.7796170614861153,43.207624197006226,14.35955456
10,0.3133781971158208,0.2851124115892359,0.7305463947825604,0.9954424258824941,0.615558894300783,0.7787359775723638,0.7973443124745343,45.84742498397827,14.35955456
11,0.31194777378963456,0.2772943445959607,0.743109313754348,0.9956198093053457,0.6448720564713349,0.7948721582825119,0.7895837265091974,45.47950720787048,14.35955456
12,0.30517589300870895,0.27349889278411865,0.7501893124106834,0.9954177431158118,0.6718348490351157,0.7826079331539773,0.7961251550429577,45.47954487800598,14.35955456
13,0.2955669869945661,0.28126902556097183,0.7403149431785985,0.9953950256914705,0.6536943957299688,0.7745122494729789,0.7927381843328476,40.56460189819336,14.35955456
14,0.2908284540313321,0.2754595118599969,0.7476951261092951,0.9953546153532492,0.6545744719537528,0.7918351373156985,0.7966757690584337,45.61210322380066,14.35955456
15,0.28646029406101314,0.27029037314492305,0.7503300006123813,0.9955131862614606,0.662631050255653,0.795319186674582,0.793039764906909,45.987332820892334,14.35955456
16,0.2849959412438644,0.2520357394540632,0.7730940787104874,0.9955953295166428,0.7061961768446742,0.8100758581548124,0.8030102011319753,45.98179745674133,14.35955456
17,0.282065013222195,0.2719229496008641,0.741712769073946,0.9956915700757826,0.6350044557774389,0.792246022739926,0.7978878287044732,42.23154282569885,14.35955456
18,0.2710068434778903,0.25052141136414297,0.7757642381900065,0.9956330769770855,0.7223173782632157,0.8079725503921509,0.797002785914653,44.85329866409302,14.35955456
19,0.2765210137979404,0.25327952649142293,0.7630778191997125,0.9956731860702103,0.6781106673785158,0.8058235113685196,0.805299278852102,46.537537574768066,14.35955456
20,0.2680850775056594,0.2753119053872856,0.7586007784078787,0.994531153021632,0.7035907523052113,0.7784861310108288,0.793725451907596,45.366071939468384,14.35955456
21,0.265298273917791,0.27433605975395925,0.7425819860922324,0.995589787895615,0.6363292795580786,0.7891227248552684,0.8022939538633501,40.56412220001221,14.35955456
22,0.2649171816537509,0.2546231327830134,0.7683061499584903,0.9957603731670895,0.6889992867772644,0.8075037808031649,0.8084153822950415,45.79808473587036,14.35955456
23,0.2574212733857535,0.25381606978339116,0.7694771449576626,0.9956634060756581,0.6955390681286115,0.8068093609165501,0.8060830058278264,45.392327547073364,14.35955456
24,0.2579833482064911,0.2697035823319409,0.7517966046959392,0.9956728058892328,0.6561713795091543,0.7950551968974036,0.80416323768126,45.367260694503784,14.35955456
25,0.2582332561849742,0.25633056542357885,0.764800917860624,0.9956561165886957,0.6830322029622825,0.803010959882994,0.8083595907365954,40.71152305603027,14.35955456
