Metric,Region,Activation,p_raw,p_holm,p_bh,sig_raw,sig_holm,sig_bh
HD95,ET,hard_elish,0.8081344622754696,1.0,0.9726957873541638,,,
HD95,TC,logish,0.5248940897179297,1.0,0.8248335695567467,,,
HD95,TC,smish,0.2844608684902458,1.0,0.6258139106785408,,,
HD95,TC,tanhexp,0.957148447590331,1.0,0.9726957873541638,,,
HD95,TC,leaky_relu,0.44537928425813866,1.0,0.7668144672750844,,,
HD95,TC,prelu,0.009930648819558593,0.5263243874366055,0.18206189502524087,**,,
HD95,TC,elu,0.9726957873541638,1.0,0.9726957873541638,,,
HD95,TC,gelu,0.37546505448160317,1.0,0.7375206427317205,,,
HD95,TC,swish,0.4709457699661057,1.0,0.7849096166101762,,,
HD95,TC,mish,0.24772384848499512,1.0,0.6258139106785408,,,
HD95,TC,elish,0.5013081432449884,1.0,0.8109396434845401,,,
HD95,TC,hard_elish,0.9402585154047228,1.0,0.9726957873541638,,,
HD95,WT,logish,0.19389602350101712,1.0,0.5924600718086634,,,
HD95,WT,smish,0.44024342219715557,1.0,0.7668144672750844,,,
HD95,WT,tanhexp,0.04261303845750797,1.0,0.34361395678076484,*,,
HD95,WT,leaky_relu,0.02514850238771194,1.0,0.2766335262648313,*,,
HD95,WT,prelu,0.6420180734147968,1.0,0.8407379532812814,,,
HD95,WT,elu,0.7430318979271642,1.0,0.950389636883582,,,
HD95,WT,gelu,0.2734793182508053,1.0,0.6258139106785408,,,
HD95,WT,swish,0.6188000039263495,1.0,0.830097566242664,,,
HD95,WT,mish,0.04373268540846098,1.0,0.34361395678076484,*,,
HD95,WT,elish,0.4461465991418673,1.0,0.7668144672750844,,,
HD95,WT,hard_elish,0.11934996583117058,1.0,0.46887486576531295,,,
HD95,NCR,logish,0.018204854652561477,0.9466524419331968,0.2503167514727203,*,,
HD95,NCR,smish,0.0875880767915649,1.0,0.45628745193233816,,,
HD95,NCR,tanhexp,0.07196805764471277,1.0,0.43980479671768913,,,
HD95,NCR,leaky_relu,0.007555233488473762,0.40798260837758316,0.18206189502524087,**,,
HD95,NCR,prelu,0.17557071846776948,1.0,0.5680229126898424,,,
HD95,NCR,elu,0.254225331436742,1.0,0.6258139106785408,,,
HD95,NCR,gelu,0.05834412260141749,1.0,0.4011158428847452,,,
HD95,NCR,swish,0.16575015878993427,1.0,0.5680229126898424,,,
HD95,NCR,mish,0.13799711103514145,1.0,0.505989407128852,,,
HD95,NCR,elish,0.26726744058870966,1.0,0.6258139106785408,,,
HD95,NCR,hard_elish,0.004719451337885211,0.2595698235836866,0.18206189502524087,**,,
HD95,ED,logish,0.9551233832161916,1.0,0.9726957873541638,,,
HD95,ED,smish,0.6035062617478387,1.0,0.8298211099032782,,,
HD95,ED,tanhexp,0.09125749038646763,1.0,0.45628745193233816,,,
HD95,ED,leaky_relu,0.2702333421995117,1.0,0.6258139106785408,,,
HD95,ED,prelu,0.3974348114059045,1.0,0.7537556768043017,,,
HD95,ED,elu,0.5577393253147075,1.0,0.8298211099032782,,,
HD95,ED,gelu,0.10263259940505118,1.0,0.46887486576531295,,,
HD95,ED,swish,0.8886133724554449,1.0,0.9726957873541638,,,
HD95,ED,mish,0.23829104121997507,1.0,0.6258139106785408,,,
HD95,ED,elish,0.5909886161825783,1.0,0.8298211099032782,,,
HD95,ED,hard_elish,0.5847411413771708,1.0,0.8298211099032782,,,
