Activation,Metric,Region,n,mean,sd,ci_boot_low,ci_boot_high,ci_norm_low,ci_norm_high
relu,Dice,ED,73,0.782,0.1366,0.749,0.8123,0.7506,0.8133
relu,HD95,ET,73,1.9331,2.5224,1.441,2.5715,1.3545,2.5118
relu,HD95,TC,73,2.2777,3.3485,1.6003,3.0856,1.5095,3.0458
relu,HD95,WT,73,2.497,3.5685,1.7699,3.3872,1.6784,3.3156
relu,HD95,NCR,73,5.3151,6.4043,3.9629,6.889,3.846,6.7842
relu,HD95,ED,73,4.3855,8.2808,2.853,6.5447,2.4859,6.2851
relu,Sens,ET,73,0.857,0.1066,0.8319,0.8798,0.8325,0.8814
relu,Sens,TC,73,0.8817,0.0973,0.8585,0.9031,0.8594,0.904
relu,Sens,WT,73,0.8835,0.1212,0.8541,0.9094,0.8557,0.9113
relu,Sens,NCR,73,0.6514,0.2374,0.5946,0.7033,0.597,0.7059
relu,Sens,ED,73,0.8041,0.1596,0.7663,0.8398,0.7675,0.8407
relu,Prec,ET,73,0.777,0.1149,0.751,0.8023,0.7506,0.8033
relu,Prec,TC,73,0.8747,0.1218,0.8441,0.8999,0.8467,0.9026
relu,Prec,WT,73,0.8767,0.0961,0.8546,0.8973,0.8547,0.8988
relu,Prec,NCR,73,0.7473,0.2245,0.6934,0.7956,0.6958,0.7988
relu,Prec,ED,73,0.7878,0.1517,0.7521,0.8216,0.753,0.8226
leaky_relu,Dice,ET,73,0.8094,0.0848,0.7895,0.8274,0.7899,0.8288
leaky_relu,Dice,TC,73,0.8658,0.1038,0.8402,0.8882,0.8419,0.8896
leaky_relu,Dice,WT,73,0.8773,0.0839,0.8575,0.8958,0.8581,0.8966
leaky_relu,Dice,NCR,73,0.6594,0.2549,0.5998,0.7159,0.6009,0.7179
leaky_relu,Dice,ED,73,0.79,0.1343,0.759,0.8193,0.7592,0.8209
leaky_relu,HD95,ET,73,1.7937,2.3485,1.3292,2.4025,1.255,2.3325
leaky_relu,HD95,TC,73,2.6151,4.1075,1.7829,3.6322,1.6728,3.5574
leaky_relu,HD95,WT,73,2.8433,7.986,1.5365,5.0045,1.0113,4.6753
leaky_relu,HD95,NCR,73,6.4497,7.5012,4.8861,8.2599,4.7289,8.1705
leaky_relu,HD95,ED,73,4.1609,8.7711,2.6182,6.4396,2.1488,6.173
leaky_relu,Sens,ET,73,0.8403,0.1074,0.8157,0.8637,0.8157,0.8649
leaky_relu,Sens,TC,73,0.8474,0.1058,0.8226,0.8709,0.8231,0.8716
leaky_relu,Sens,WT,73,0.8867,0.111,0.859,0.9098,0.8612,0.9122
leaky_relu,Sens,NCR,73,0.6113,0.2308,0.558,0.6634,0.5583,0.6642
leaky_relu,Sens,ED,73,0.8274,0.147,0.7926,0.8589,0.7936,0.8611
leaky_relu,Prec,ET,73,0.7973,0.1159,0.7697,0.8232,0.7707,0.8239
leaky_relu,Prec,TC,73,0.9027,0.1357,0.8705,0.9319,0.8716,0.9338
leaky_relu,Prec,WT,73,0.8821,0.0925,0.8608,0.9027,0.8609,0.9033
leaky_relu,Prec,NCR,73,0.8081,0.2665,0.7449,0.8658,0.747,0.8692
leaky_relu,Prec,ED,73,0.7781,0.1542,0.7411,0.8121,0.7428,0.8135
prelu,Dice,ET,73,0.7939,0.1158,0.766,0.8181,0.7674,0.8205
prelu,Dice,TC,73,0.8455,0.145,0.8112,0.8768,0.8123,0.8788
prelu,Dice,WT,73,0.8656,0.1099,0.8369,0.8884,0.8404,0.8908
prelu,Dice,NCR,73,0.6644,0.2485,0.6057,0.7188,0.6074,0.7214
prelu,Dice,ED,73,0.7749,0.1486,0.7403,0.8068,0.7408,0.809
prelu,HD95,ET,73,2.532,4.5597,1.6249,3.6412,1.486,3.578
prelu,HD95,TC,73,3.2248,5.3293,2.1099,4.5694,2.0023,4.4473
prelu,HD95,WT,73,2.6175,4.2945,1.7592,3.6661,1.6324,3.6027
prelu,HD95,NCR,73,5.8824,6.922,4.4444,7.5154,4.2945,7.4703
prelu,HD95,ED,73,4.4414,8.4222,2.889,6.5582,2.5093,6.3735
prelu,Sens,ET,73,0.7893,0.1515,0.7536,0.8216,0.7545,0.824
