epoch,train_loss,val_loss,mean_dice,dice_bg,dice_necro,dice_edema,dice_enh,mean_prec,prec_bg,prec_necro,prec_edema,prec_enh,mean_sens,sens_bg,sens_necro,sens_edema,sens_enh,time,max_mem_gb
1,0.8555578976064115,0.5103292296061644,0.5066386629399415,0.9903154550371943,0.24547151909083934,0.5545166263709197,0.7199278433580656,0.48000703156330027,0.9973465542535525,0.1778703322382392,0.5912210888959266,0.670929673555735,0.6461484350666807,0.9834382437370919,0.5858224546788512,0.554918418059478,0.7977044324617129,444.8456299304962,17.560505856
2,0.4450031279309376,0.3830235117190593,0.6330388023241146,0.994552601028133,0.44065234508063345,0.7363404091951009,0.7221236526966095,0.6302519723907247,0.9964073574220812,0.4469564238915572,0.6992316761532346,0.7445678171273824,0.6846816152132846,0.9927186901504929,0.5286923386156559,0.8035917749276033,0.7217607320965947,100.03598356246948,17.594061824
3,0.39769843230779106,0.35707433924481674,0.6656981630099786,0.9949558087297388,0.5329447441004418,0.7330614626407623,0.7310882822887318,0.721986598662428,0.9939243745159458,0.5995473293839274,0.7603767288697733,0.8060357377335832,0.6654306416575974,0.996009610794686,0.5620490874390345,0.7374837052177738,0.6967591323159836,102.92018985748291,17.594586112
4,0.38542854010656075,0.35622914940924255,0.6615354170485794,0.9952259530892243,0.4997994380474493,0.7441444203660295,0.7406623927322594,0.7430690106776384,0.9935659750087841,0.6447811686509365,0.7661931482521264,0.8182327151298523,0.647519132395082,0.9969082168630652,0.4941663712489645,0.748689171430227,0.6997018545060545,102.84456300735474,17.59445504
5,0.37224215027448293,0.4217562119703035,0.5504668843482102,0.9950164459847115,0.2371150705795359,0.7205276537585903,0.6937579287065042,0.8013563555772989,0.9927759976000399,0.8265943679048235,0.7037742266783843,0.8737004721486891,0.5174935850541392,0.9972863906138653,0.17649802368236703,0.7719622930964908,0.6040204383835599,103.03683710098267,17.594323968
6,0.36433896019652084,0.32400400856056727,0.6943231660637769,0.9951855427510029,0.5469077368443077,0.7614874791454624,0.7745742822015608,0.7233057238228686,0.9955633298770802,0.6351347086397378,0.7544076217187418,0.7803748411101263,0.716277238585659,0.9948252697248716,0.5569095836096519,0.796320574509131,0.7956015576381941,102.66494822502136,17.594586112
7,0.336918410618563,0.337549412169972,0.6724463015257776,0.9951839930302387,0.5081181787961239,0.7275672716063422,0.7816534541748665,0.6682068072595038,0.9958283498480514,0.4328381952804488,0.7819416877385732,0.7898405387594893,0.7387650615728653,0.9945576964197932,0.7209312049923716,0.7034011072403675,0.7919628724858567,103.31758213043213,17.5951104
8,0.3278684447947386,0.376118139640705,0.6680559809948946,0.9901535237157667,0.5757257370529948,0.6923798072982479,0.7360623986334414,0.647295002733265,0.9972229664390152,0.6970721511421977,0.5889315218538851,0.6558813352037121,0.7652525126866929,0.9832478358938888,0.5373843307229312,0.8912498741536528,0.8671233331834948,103.29133200645447,17.596617728
9,0.34308469476732045,0.2996323841649133,0.7134196228003716,0.9953483520327387,0.573553960468318,0.7721688457437463,0.7945360621890506,0.6945937212120307,0.996037608868367,0.5340743252151722,0.7835865157681543,0.7661203226527652,0.77019720625233,0.9946740382426494,0.6943016954370447,0.7799729962606687,0.8363169270592767,103.06447720527649,17.596355584
10,0.31455349861770066,0.2850377028052871,0.7365516615981186,0.9954724102406889,0.646814482387256,0.7836213466283437,0.779219155778756,0.7947406077438647,0.9950574282053355,0.7751346427846599,0.7772890119939238,0.8317981684530104,0.7246580213719458,0.9959022386654003,0.6082302045605674,0.81341337191092,0.7523304876443502,103.64150404930115,17.595503616
11,0.29748954467878147,0.2874827554097047,0.7409050794746223,0.9953419421170209,0.6657391582313623,0.7731323723454733,0.7838437078470314,0.8188308974107107,0.9942405546033705,0.8600938022136688,0.8046564443691356,0.7917424456493275,0.7247866667253343,0.9964613286224572,0.5820482372985901,0.7820008481676514,0.8103109147097614,103.81665134429932,17.594586112
12,0.30532016277917334,0.2846968286746257,0.7338543018779239,0.994988599339047,0.6221869789265297,0.7796091735363007,0.7997667531709414,0.7092089389895534,0.9969791818309475,0.6123006174693236,0.7502006703131908,0.7651255291861456,0.7947823464333474,0.9930199497454876,0.7054524373363804,0.8313950767388215,0.8474995252248403,103.07382822036743,17.595700224
13,0.2873804968454548,0.2865914911837191,0.7230761713004327,0.9954712600321383,0.5942943051860139,0.7799899368672758,0.7949442718480084,0.7063844780529941,0.9963253414308703,0.5700512808319684,0.8028961677809019,0.7462059855461121,0.7828456677563557,0.9946309956344398,0.7076419781188708,0.7769731991999859,0.8639218259502102,102.8366391658783,17.59707648
14,0.2916429454108348,0.2753758196895187,0.7415516589944428,0.9955563996289227,0.6452602643418957,0.7848522808100726,0.7945424318313599,0.7600614228495607,0.9951970303380812,0.6688088996184839,0.7927308066471203,0.8186445622830778,0.7535203267056664,0.9959294054959271,0.6841397821097761,0.7945854341661608,0.781835763841062,102.63553166389465,17.59543808
15,0.2885253924775768,0.2916586781675751,0.7330772680071024,0.9950963903117824,0.6290616499813827,0.7723529693242666,0.7978171847156577,0.7247311842065675,0.9962667436213106,0.6250991172887184,0.7650622709377392,0.7840321643932445,0.7762060122279165,0.9939440198846765,0.6879458688702937,0.8073564961149886,0.8333156716984671,102.74014353752136,17.596814336
16,0.283032463863492,0.2736915563409393,0.7405790578875994,0.9953186946946222,0.6357550362276064,0.7873043240727605,0.7986778133624309,0.7339075645347974,0.9963987936844697,0.6670746642190057,0.775067360819997,0.7595806685653893,0.7823335131680643,0.9942555202020181,0.6717955971489081,0.8192757625837583,0.8559291797715265,103.6353919506073,17.594586112
17,0.28055166644421786,0.25805384001216375,0.7608373500742354,0.9954380425246986,0.6697384868119214,0.8040205514108812,0.8087530119999035,0.7520959780022904,0.9967960054809982,0.709675632618569,0.7695172348537961,0.7770950665345063,0.7978356485968238,0.9940955638885498,0.6816381731548825,0.8582935284923863,0.8535752441432025,102.58958745002747,17.59445504
18,0.2764615179920519,0.2614584746392998,0.7554664833991377,0.9954351541158315,0.6666061078777185,0.8027164195034955,0.7970769228161992,0.7770696403207005,0.996538879098119,0.8095535845369906,0.7732201363589313,0.7484352000661798,0.778402801233906,0.9943470697145205,0.6132880294242421,0.8527942815342465,0.8691260927432293,103.03935170173645,17.594848256
19,0.2643441584061932,0.2731325783439585,0.7560997905524665,0.9955549836158752,0.6837327442548361,0.7921654106797399,0.7924012167228235,0.8181235380952416,0.9942111614588145,0.8346968104343138,0.8255693453389246,0.7941044585124867,0.737245643376817,0.9969178067671286,0.6109522277529063,0.7861706018447876,0.8146141005327573,102.41298484802246,17.594913792
20,0.26149958346945207,0.25661125779151917,0.7680768814978299,0.9957650626027906,0.690902889983074,0.808114949110392,0.8052128054000236,0.8427088061968485,0.9946090852892077,0.9185996941618018,0.8264638684891366,0.7830628559396073,0.7458925175035859,0.9969370316814732,0.5866450144833809,0.8082689441539146,0.8427635938734621,102.91974115371704,17.5951104
21,0.25492174107883425,0.2612377727353895,0.7580740230308997,0.9955334196219573,0.669360068601531,0.7962171870308954,0.8086448134602727,0.7575952221412917,0.9965105894449595,0.6857372316959742,0.77447493897902,0.8125734957488807,0.7869482804257589,0.9945689004820746,0.7097473817097174,0.8348985523790926,0.8161989071884671,104.00596213340759,17.594192896
22,0.2585187884097969,0.2563750977451737,0.762252068442821,0.9957142665579513,0.680134592760304,0.7981228329039909,0.8084987796641685,0.7812695855627189,0.9957069255210258,0.7368763429490296,0.8078973188593581,0.799035094879769,0.7763504819967575,0.9957345256934295,0.6855576921575325,0.8104050811883565,0.8330886726443832,103.44792604446411,17.59379968
23,0.24921634652324626,0.24923735655642845,0.774768489371012,0.9956330044849498,0.710692160636992,0.8061101291630719,0.8075031783129718,0.8179880190003025,0.996404001841674,0.8722878106542535,0.7679058232822934,0.8137704230643608,0.7728660452003414,0.994874432280257,0.6354991887268182,0.8675414420462944,0.8155575048279118,102.80913758277893,17.59445504
24,0.24511308756631775,0.2506854912719211,0.7706146003292487,0.9957934005840404,0.6964025286001128,0.8088715881914705,0.8065696841961628,0.8148976465066274,0.9955044759286417,0.839464965704325,0.8036809072301194,0.8015470665854376,0.7639576807819508,0.9960947358930433,0.6358583324865715,0.8304237320616439,0.8255909777976371,103.23012471199036,17.595634688
25,0.24088283592986093,0.25293753759281057,0.7727588734648249,0.9953461224968368,0.7070419240642238,0.7983198318932507,0.8129148644370001,0.7941576382061383,0.9966086020340791,0.8242668372553748,0.7590347745934048,0.7991713027696352,0.787482419026059,0.9941002033852242,0.6596860298635187,0.8607417924984081,0.8420194347162504,103.44600200653076,17.594323968
26,0.24109602029863242,0.26967222827511866,0.7629360344660138,0.9957379279909907,0.6923006378808425,0.8057162906672504,0.7907911748499483,0.8584898084670574,0.994117707819552,0.9143303262220847,0.8221510817875733,0.8389880173915142,0.7215361823534069,0.9973762293119688,0.5921826218118427,0.80819522529035,0.7642306999580281,102.59777474403381,17.594192896
27,0.232911796283883,0.24498633154340693,0.7779839253640389,0.9956810409958298,0.709874148304398,0.8102540631552,0.8138235646325189,0.7858821802042626,0.9966996328250782,0.7742155004997511,0.7795469785058821,0.8038840616071546,0.7974465118200929,0.9946757426133027,0.6972378764200855,0.8594549346614528,0.8356467243787404,102.91964721679688,17.594979328
28,0.23966732555748643,0.2590512351409809,0.7699190100407446,0.9954989149763778,0.7007662408569878,0.7984547792254267,0.8105360100398192,0.7881771453597524,0.9960347285141816,0.7807444958267985,0.7867854769165451,0.7970014633359136,0.7812424895803544,0.9949767541241001,0.6707541146205511,0.8315969568652075,0.8413763972553047,102.93876338005066,17.5951104
29,0.2296508906056752,0.25578987719239415,0.7697890852195176,0.9957925951158678,0.6959066311183788,0.8101295071679193,0.803331117372255,0.8072058340987643,0.995186224177077,0.7742147703428526,0.8197549637910482,0.8276477681623923,0.7612474586691148,0.9964134628708298,0.6677487804007722,0.8179220968001598,0.7980714988064121,103.81206560134888,17.595503616
30,0.23210093434396628,0.2724936753511429,0.759192408154458,0.9956125310949377,0.6858029009612718,0.7928077046935623,0.7989666188085401,0.8245613338711024,0.9943423979991192,0.8164675630427696,0.8261349628100524,0.8310814757604856,0.7382787549780795,0.9969006180763245,0.6437676703496447,0.7850467554620795,0.7860218391225144,103.16095066070557,17.594389504
31,0.22429125750991138,0.25121885679058126,0.7713813988475112,0.9958447701222187,0.6936464358020473,0.811240558688705,0.8092572020517813,0.8113292630191323,0.9957750053019137,0.8474500203454817,0.8166879254418451,0.7698498432700699,0.7755340304527732,0.9959263608262345,0.633858829434659,0.8238577818548357,0.8688854800688254,102.94912052154541,17.594323968
32,0.2225965340495915,0.26697431625546636,0.7641267726928843,0.9956021308898926,0.7073894816000845,0.793866254187919,0.7911245822906494,0.8147505320407249,0.9952002425451536,0.7801846346339664,0.7951533303067491,0.8689136311814591,0.7535094164826054,0.9960184532242853,0.7004552285546418,0.8155897138891993,0.7444833070039749,102.79268550872803,17.595044864
33,0.2207532331246782,0.24546194398725354,0.7771823482738959,0.995918683103613,0.7123925625472456,0.8100715279579163,0.8090829543165259,0.818320008682775,0.9957145371952573,0.8188553375972284,0.8046999299848402,0.8314047584662566,0.7703126623958081,0.9961340765695315,0.6749274225251095,0.8323295245299468,0.803681040132368,104.20561957359314,17.596290048
34,0.2153692844046934,0.24221143005667506,0.7813053045186912,0.9958063782872381,0.7185719303182654,0.8121929909731891,0.8131509922646187,0.7947328971312926,0.9964890431713413,0.8130527936123513,0.7919557392597198,0.7791901585218068,0.7972605840579884,0.9951358018694697,0.6799305355226671,0.8491375639631942,0.8627136526881037,102.57743215560913,17.594520576
35,0.21577598240125823,0.24262002029934446,0.7784407211987823,0.9959545747653858,0.7047605927328806,0.8173588949280817,0.8132026759353844,0.8010784465450423,0.9959991187662691,0.7970699232977789,0.818884168927734,0.7872812474096144,0.7887333572447837,0.9959202424899952,0.6768717749698742,0.8316329894839106,0.8576953072805662,102.99799847602844,17.5951104
36,0.2102165436120452,0.24864883277867292,0.7738967893544485,0.995870735194232,0.6951608621339137,0.8162112687085126,0.8103182372209188,0.8243981562219225,0.9958389481982669,0.8733649197462443,0.8026172913409568,0.7972122575785663,0.7681728573306253,0.9959145897143596,0.6162537896275722,0.8477649253767889,0.8404998569875151,102.80641555786133,17.5951104
37,0.21063635508353645,0.25544456614030375,0.7634675537009498,0.9957489612940196,0.6717156483917623,0.8119651208052764,0.8067218919058103,0.7767237322824495,0.9966975176656568,0.7879068940072447,0.7871644762722222,0.7550998265678818,0.788464549056313,0.9948127543604052,0.6312143662692727,0.8534719138532072,0.8807073670464594,102.85871171951294,17.59543808
38,0.206938783915059,0.25209425631407145,0.7714659065545142,0.9958412292841319,0.7018033584227433,0.8123953680734377,0.8001989931673616,0.8189237418475451,0.9955788625253214,0.8039991646199613,0.8029982077108847,0.8497738532117896,0.7607571062472488,0.9961155234156428,0.6700656039489282,0.8383516717601467,0.7738540430326719,103.95120286941528,17.595044864
39,0.2057223347191875,0.2531990179338971,0.7681707061894305,0.9959110955934267,0.689317076190098,0.8102996897053074,0.8048953526728863,0.8062110481498478,0.9957425368798746,0.7682036137258684,0.8039665995417414,0.8464629311819334,0.7641981975049585,0.9960901382807139,0.6787220523566813,0.8327131384127849,0.7811594017454095,103.33751726150513,17.595241472
40,0.19994883390294538,0.24470671004540212,0.7751051231816009,0.9958458542823792,0.6980486258461669,0.8143149823755831,0.8129517613230525,0.7899828798867561,0.9965876727490812,0.7933479044083003,0.7928309094261479,0.7837698258258201,0.7915244856261991,0.9951156651651537,0.6628681652852007,0.8525795276100571,0.8591257639833398,103.32525539398193,17.59609344
