epoch,train_loss,val_loss,mean_dice,dice_bg,dice_necro,dice_edema,dice_enh,mean_prec,prec_bg,prec_necro,prec_edema,prec_enh,mean_sens,sens_bg,sens_necro,sens_edema,sens_enh,time,max_mem_gb
1,0.8497500721667264,0.5233461260795593,0.4898347587467314,0.9920620193352571,0.25835679511766174,0.48974830919020884,0.7213991719323236,0.47913732535734366,0.9974650128467663,0.1790231599699001,0.5917443717653686,0.6666444443367623,0.6282688980703955,0.9867401332468599,0.6389819162117468,0.4414649891692239,0.8043597888302159,105.79812574386597,17.566207488
2,0.4424658572754344,0.40616386323361786,0.5944484964952812,0.994791203253978,0.3488579928069501,0.7211539479526313,0.7133335487262623,0.652941879321326,0.9952678374342017,0.4885500184184796,0.679461835203944,0.7908137843415544,0.6022171017688674,0.9943313550304722,0.3421874430936736,0.792242663937646,0.6722211982752826,101.17814421653748,17.599763456
3,0.41243501319675835,0.35913051221821757,0.6544279929351162,0.9946425396042902,0.47996152514541474,0.7361501415033598,0.7471723121565741,0.6651686714576172,0.9961650065473608,0.5328806356803791,0.6957859018364468,0.7668394768560255,0.6913641580791624,0.9931403527388701,0.5222349053097738,0.8053508594229415,0.7465067095047718,104.62609672546387,17.598452736
4,0.380498503813067,0.3461736609806886,0.6625764382046623,0.9953656051609967,0.5010000374671575,0.7378406879064199,0.7488885892404092,0.6826409353866234,0.9950868439030003,0.45765109481038274,0.7830443575575545,0.8072273537919328,0.7028658371250908,0.9956576373126056,0.6758423479827674,0.7168766461514138,0.7158785172410913,103.93980240821838,17.598977024
5,0.3754669813489592,0.3745574061129544,0.621054234067062,0.9953588488939646,0.42194073043159536,0.7394192702061421,0.7018027015634485,0.7486597663043318,0.9946316545074051,0.6699373676768832,0.7099677944505537,0.8660741367855588,0.6050865373800735,0.9961025247702727,0.40579017639361525,0.7966641759550249,0.6128052597915804,104.26547479629517,17.599501312
6,0.3702961526609756,0.32655410871312424,0.6992893692206691,0.9950589489292454,0.5647975168115383,0.7593003914162919,0.7737701994341772,0.7228492283606315,0.9955195607365789,0.6923705806603303,0.7464665754421337,0.7297105289794303,0.7210127903601607,0.994613808554572,0.5294128750023004,0.7976947910076863,0.8359307050704956,103.80513978004456,17.599501312
7,0.34000962866923296,0.32077572595428777,0.6994830478687545,0.9954650224866094,0.5624769011864791,0.7495034868652756,0.7864687555545086,0.710676643628258,0.9950466897036578,0.5296139374778077,0.8095479108191825,0.7928680825877834,0.7364342708039929,0.9958983466431901,0.6936979885842349,0.7197342305570036,0.79587059327074,103.49046921730042,17.600156672
8,0.336381733618878,0.283409656302349,0.7466916646640581,0.9950922663147385,0.6612622159961108,0.786064280045999,0.7927484979500642,0.7500686574358125,0.9965541572184176,0.7408580920986227,0.745772310205408,0.7635755700034064,0.7730384837869589,0.9936484356184263,0.6310009145857515,0.8515556438549144,0.8365588929202106,104.56961226463318,17.599828992
9,0.32747558091540596,0.28293138339712814,0.7383101932234593,0.9955250089232986,0.6353674025551693,0.7875723202486296,0.7919908568665788,0.779615028752937,0.9946296891650638,0.7270139318865698,0.8154534359236021,0.7963777184486389,0.7389873435368409,0.9964367747306824,0.6265649751231477,0.7859839257356283,0.8044131297517467,104.33550548553467,17.599501312
10,0.31614730305768346,0.2822718523644112,0.734931330154608,0.9954700341095796,0.6316135453211295,0.7831110277691403,0.7900694173735541,0.7561278794262861,0.9958810612962052,0.688904615672859,0.7666718992027076,0.8128071234032914,0.751001706732823,0.9950726660522254,0.652006694392578,0.8205675337765668,0.7804308920293241,103.52685523033142,17.599763456
11,0.307868244780882,0.2773924296772158,0.7490264158192518,0.9953437673079001,0.666749131739945,0.780463709219082,0.7998664064987285,0.7989570262195828,0.995337193076675,0.8433429349113155,0.7773528413192646,0.7761753024281682,0.7484195761147651,0.9953654166814443,0.5915059487058504,0.8128920962681642,0.8408606833702809,104.32824778556824,17.599501312
12,0.306926551954569,0.30100117664079407,0.7228737848194712,0.9951870215905679,0.6074001334495975,0.7627278663016654,0.7984933547071509,0.718372760360269,0.9960093884854704,0.5835375053945943,0.7754687570236825,0.79611201866253,0.7677623309560687,0.9943792916632987,0.7033728895245259,0.778644966918069,0.8212691364256112,104.68793249130249,17.599828992
13,0.29388867519997264,0.2916005197409037,0.7226056425689578,0.9954954933475804,0.5984741517820874,0.7728488171422804,0.7964939587825054,0.7162109271094605,0.9958733416892387,0.5875129969538869,0.8103231618533263,0.7507966225211685,0.7764585984719766,0.9951312525852306,0.7088224662316812,0.7584584895017985,0.8620948396824502,103.47397780418396,17.59904256
14,0.29615246831766656,0.27794573959466573,0.7432994795543654,0.9953512420525422,0.6505664139986038,0.7787917997386005,0.8005402249258917,0.7475466972535795,0.9963861430013502,0.6828788373921368,0.7547258774976473,0.8050353768709544,0.7739767119422689,0.9943315644521971,0.6896586832967965,0.8245132339967264,0.807758218533284,103.80847263336182,17.598452736
15,0.2851900243376558,0.2902318561399305,0.7260521730861148,0.9952261705656309,0.6018249360290734,0.776816580746625,0.7995150024826462,0.6949622177997151,0.9970244749172313,0.5717494860291481,0.7640722361770836,0.7490649311929136,0.7987084181324855,0.9934472345017098,0.7198712574066343,0.8068939334637409,0.8693600635270815,103.94733691215515,17.598780416
16,0.3041846082117912,0.2691620854107109,0.7513421571872256,0.995331305104333,0.6590909625630121,0.7920403577185966,0.802895151280068,0.7382962270094467,0.9967464289149722,0.6971210068142092,0.7659583051462431,0.751809369067888,0.7961342945560679,0.993932031296395,0.6796880682577958,0.8370785101039989,0.8716363053064089,105.03309273719788,17.599763456
17,0.28987904033950856,0.2668344225432422,0.7555237513136218,0.9953781463004447,0.6593481733186825,0.7971343011469454,0.8100887794752378,0.7468387935612654,0.9964161305814176,0.6674319819824116,0.7790251221205737,0.7940592765808105,0.7908101201325923,0.9943532315460412,0.7023741478050077,0.8335680027265806,0.8364882098661887,103.81033277511597,17.600549888
18,0.280700247130684,0.27153670586444234,0.7489287147785092,0.9954695314974398,0.6480794671822239,0.7969275213576652,0.8017791557956386,0.7457980496120884,0.9967554259944607,0.7092417740338558,0.7782435159425478,0.7499088588598612,0.7896712396193196,0.9941995772155555,0.6561565087051004,0.8354360300141412,0.8774211801387168,104.28375577926636,17.601860608
19,0.26327133601581726,0.2641497580586253,0.7607431998556761,0.9957194376636196,0.6789606193925771,0.7999103327055235,0.8033586474689277,0.8027472837014242,0.9953752562806413,0.81139075756073,0.8141500426305307,0.7827010509130117,0.7632282191867189,0.9960763937718159,0.6338468405936103,0.8098147334279241,0.8460230835386224,103.867018699646,17.600222208
20,0.26063458923552485,0.24947334503805316,0.7771898073119087,0.9958164724143775,0.7091024985184541,0.812515368332734,0.8099515550845379,0.8107956910992528,0.995346496234069,0.8339570599633295,0.8228360430614369,0.7755939702729922,0.7748566107774103,0.9962974577336698,0.6490981366384674,0.8174793381948728,0.8579923574988907,104.2364399433136,17.599173632
21,0.25918489760039626,0.2605530285351985,0.7651226531277905,0.9956392968023146,0.6917186782166764,0.800066976933866,0.8035823042328293,0.7754150957943082,0.9964201418129174,0.7241351616543692,0.7761803615737606,0.825929764154795,0.7841698466926008,0.9948711089185767,0.7152776577182718,0.8439928929548006,0.7932389894047299,104.76218152046204,17.59871488
22,0.2688842375032805,0.2595126826215435,0.7598789415850833,0.9957756947826695,0.6749393926883066,0.7987998699819719,0.8058975620849712,0.7874870015694214,0.9958945222803064,0.7480800908965033,0.8054795957900382,0.8089013180217227,0.7751641436438034,0.9956688752045503,0.6895134035699271,0.8164268538758561,0.819552173485627,104.09546208381653,17.601598464
