epoch,train_loss,val_loss,mean_dice,dice_bg,dice_necro,dice_edema,dice_enh,mean_prec,prec_bg,prec_necro,prec_edema,prec_enh,mean_sens,sens_bg,sens_necro,sens_edema,sens_enh,time,max_mem_gb
1,0.8888454787634514,0.48762564562462474,0.5255154123580134,0.9918933043608794,0.29624833267282796,0.5853868626259469,0.6949110417752653,0.5043404181865422,0.9975789221557411,0.22188049725986816,0.5930326375606898,0.6981081197390685,0.6501732349798486,0.9863041945405908,0.6212163090303138,0.6155522159627966,0.7137511799464354,257.8479597568512,11.989093888
2,0.4429206016498643,0.4031764301093849,0.6119350734930317,0.9941318357313002,0.3960141065354283,0.708458927837578,0.731332186106089,0.6293072615255106,0.9951709718317598,0.4229469357712849,0.6972192308387241,0.767755617966523,0.6504888743632012,0.9931161210343644,0.4853355811053031,0.748133477326986,0.7179975646573145,255.37042331695557,12.024747008
3,0.4057746576900418,0.3444972823600511,0.6623400761200502,0.9951775218989398,0.4705468400104626,0.7621094375043302,0.7543639508453576,0.7379205594728658,0.9950495523375433,0.7396168088590777,0.7365026184030481,0.7376422511564719,0.6654283841316765,0.9953217152002696,0.3958165313343744,0.8123087850776879,0.788159835982967,255.89331698417664,12.021863424
4,0.38380237125061656,0.3636847086049415,0.6447734630054182,0.9952116221994967,0.45835985001680013,0.7348402915774165,0.7411202474220379,0.7001695485265405,0.994596550593505,0.537299810229121,0.7472112492935078,0.8159975860569928,0.654718918407017,0.9958434845950153,0.5133188869300727,0.7488815631415393,0.7019563051494392,255.2935802936554,12.022649856
5,0.36790949811001084,0.40462660547849294,0.5887757999579178,0.9952937074609705,0.3517538424002359,0.7294905507886732,0.6850830066848446,0.7786136021216711,0.993298491916141,0.7545290013422837,0.7101387534592603,0.8711730515634691,0.5484035027901398,0.9973134060163755,0.2787825511642606,0.7756581459496472,0.5907698112565118,255.41668033599854,12.023305216
6,0.37287149809905,0.37406010241121856,0.6440602310740196,0.9930861076793155,0.46024252051437226,0.7317607185325107,0.7401774541751759,0.6479769251099579,0.9972859588829247,0.6024802677534722,0.6358439898168718,0.7056065177595293,0.7030223463368309,0.9889434044425552,0.41809967250840085,0.8917696943154206,0.799197672186671,255.40895056724548,12.024615936
7,0.3491506147626284,0.34557847759208166,0.6649855914953592,0.9951197633872161,0.4947811614822697,0.7155597660992596,0.7846158469045484,0.6465308079579929,0.9961100059586603,0.4180205991944751,0.7724275943395253,0.7491442303399782,0.7464744122447193,0.9941482882241945,0.7177938154420337,0.6860317064298166,0.8355977148623079,255.31826734542847,12.02422272
8,0.3322341713450245,0.2951704114675522,0.7357919476590715,0.9947124300776301,0.6498115537939845,0.7768392562866211,0.7807250328966089,0.7323488354145944,0.997129280824919,0.7607164874270156,0.7202672805335071,0.7160627382832605,0.7785876638985969,0.9923224658579439,0.5959743031778851,0.8671779632568359,0.8726107252610696,255.25241541862488,12.024812544
9,0.3315580398649783,0.2930797040462494,0.7208152111317659,0.9955611712223774,0.5871713060784984,0.7793120999593992,0.7959622273574004,0.7256525275675026,0.9947542580398353,0.5777869856840855,0.8200589458684664,0.779111651149956,0.7468726163780367,0.9963823895196657,0.6581958085298538,0.7575135553205335,0.8249084852837227,255.28648281097412,12.022060032
10,0.3195631014736923,0.29198735992650726,0.7334455001998593,0.9953718265971622,0.6412821935640799,0.7791416210097235,0.7799126860257741,0.7622169971734554,0.9958117346505861,0.6933275787411509,0.7617290229410738,0.8315943898381414,0.7424285789062312,0.9949480262962548,0.6500027719381694,0.8228878805766234,0.7543950842039006,255.31571650505066,12.022846464
