epoch,train_loss,val_loss,mean_dice,dice_bg,dice_ncr,dice_ed,dice_et,time,mem_gb
1,0.8049732470834577,0.46361762607419815,0.535294825289302,0.993414935227987,0.2521017527890492,0.7028902301917205,0.6508924928871361,40.475746393203735,6.960920576
2,0.42713513567640976,0.41232187159963557,0.6037397792072677,0.994849807507283,0.4026708957300686,0.6970118912490638,0.7115365506426709,35.135709285736084,6.996311552
3,0.42013338953256607,0.380878727983784,0.6262624202682091,0.9947911903664872,0.40947074604195516,0.7137174686870059,0.7555990460756663,37.01877474784851,6.996311552
4,0.37908306466163816,0.3483870464402276,0.6613755118739498,0.9950040965466886,0.48005819481772344,0.739647435175406,0.7644209056287199,48.60104513168335,6.996311552
5,0.3666340937284199,0.32611710316426046,0.6910959952049427,0.9948300058777267,0.5514244485545803,0.7539820437495773,0.7678814933106706,44.10594201087952,6.996311552
6,0.34479220100754016,0.38936969154589884,0.6174082504333677,0.9941036346796397,0.4197597215707238,0.6651435365548005,0.7673214931745787,42.73911380767822,6.996311552
7,0.336030527999675,0.33054480520454615,0.7110328933572947,0.9950776631767685,0.6261927945075696,0.7511056057504706,0.7558002798138438,42.188541889190674,6.996311552
8,0.3246158333746968,0.28955420972527685,0.7299880782927443,0.9954829296550235,0.6231310750674445,0.7861473552278571,0.7806858045829309,42.94374752044678,6.996311552
9,0.3171804455184453,0.30409441082864197,0.7212178958579898,0.9942538254969829,0.616124375169543,0.7581409360911395,0.7893883763132868,38.28335881233215,6.996311552
10,0.3093546693892898,0.28345559537410736,0.7277993328936465,0.9954837673419231,0.6059746057600588,0.7842582069538735,0.7931651859670072,40.53483581542969,6.996311552
11,0.30268547276185975,0.27142343287532394,0.7483924687876753,0.9955679258784732,0.6563222960528062,0.7978167783569645,0.7910383319532549,40.49928832054138,6.996311552
12,0.29712814364481616,0.31106261989554845,0.7234496497503637,0.9951706899178995,0.6397611253657745,0.7565463198399222,0.7740415040453946,42.37635326385498,6.996311552
13,0.2882949559873826,0.2757808292234266,0.7393899218154113,0.9955278409493936,0.638225760562597,0.7856236357946653,0.794320369088972,40.01109719276428,6.996311552
14,0.2900653814745916,0.27479948183974706,0.7404835155015593,0.9955086079803673,0.6316406390554196,0.7943292872325795,0.795480620216679,40.85796308517456,6.996311552
15,0.2766939664913996,0.27545252764547196,0.7501030283901032,0.9955651373476595,0.6695385225408674,0.7913703274082493,0.7894002352211926,40.998597621917725,6.996311552
16,0.2837364240171942,0.25626664749673894,0.7678806456225412,0.9956389520619366,0.7003635464085115,0.8047386423961537,0.7985397480629586,43.918373346328735,6.996311552
17,0.2773207859513727,0.27359190905416336,0.7410024043571805,0.9956160381033614,0.6367541705121753,0.7924417176762143,0.7938113248831516,42.82727003097534,6.996311552
18,0.27219228068920404,0.2523965477137952,0.770206379091686,0.9957085235698803,0.7031765069711853,0.8067531150740546,0.800689515229818,42.18933153152466,6.996311552
19,0.27009733318275697,0.2541908480831095,0.7661861709512032,0.9958006240226127,0.6809736721821733,0.8104667631355492,0.807118077535887,37.767398834228516,6.996311552
20,0.2602221739755289,0.2664245540225828,0.7610914285819773,0.9951160920632852,0.7100561438872895,0.784311527335966,0.7889066145226762,39.755645990371704,6.996311552
21,0.26296993667209473,0.2745208865081942,0.7387328747961973,0.9958468997800672,0.6262118578762621,0.7868390969327979,0.8031476695795317,42.07598686218262,6.996311552
22,0.26774400497811873,0.2556394129186063,0.7635696117032719,0.9957665768829552,0.6815682795089533,0.8082401543050199,0.8009004012958424,40.10447573661804,6.996311552
23,0.2604483096684153,0.26603399780956477,0.7513833520007465,0.9955970999356862,0.661497850322372,0.7928061275868803,0.7998460780929875,36.80807590484619,6.996311552
24,0.24807895604218985,0.26578749071907354,0.7586041637570471,0.995710822376045,0.6775403939992994,0.7975645170018479,0.800707580269994,41.83370566368103,6.996311552
25,0.24909822975058812,0.25380373766293396,0.7685836529409563,0.9956524726506826,0.7021542127067978,0.8039167136759371,0.799680032440134,40.866623640060425,6.996311552
26,0.24218710929759452,0.24757606234099414,0.7748117411995793,0.9957078228125701,0.7146152120989722,0.8059111124760395,0.8039088990237262,40.97422003746033,6.996311552
27,0.24164246480811286,0.2577276407061396,0.7702542002405132,0.9957268173630173,0.7060932166673042,0.8042009376190804,0.8004684464351551,37.554643630981445,6.996311552
28,0.23871630611451897,0.2562442885057346,0.7633852680457066,0.9957193990011473,0.685055577573744,0.8018201154631537,0.8032801111002226,42.552220582962036,6.996311552
29,0.23482951159412796,0.2576963559195802,0.7588808817436566,0.995847449109361,0.6682783700525761,0.7991628646850586,0.8092014104933352,42.26942276954651,6.996311552
30,0.23647859511343208,0.2800158242116103,0.7342223531923815,0.9956387603605116,0.6206330057424356,0.7787913784787461,0.8032426753559628,42.54463338851929,6.996311552
31,0.22959893050830107,0.2619382046364449,0.7544144236453981,0.9957419569427902,0.6703843019791439,0.7943363076931721,0.7985226612638783,36.93214225769043,6.996311552
32,0.2294061441175841,0.24365412907020464,0.7832346996208569,0.9957610255963093,0.7351292138164108,0.8137507277566034,0.8008241572895566,41.01721549034119,6.996311552
33,0.2288473454379552,0.25649603556942296,0.7649632322996318,0.9956771956907736,0.6905249513786387,0.8056194347304266,0.79874531078983,43.02191734313965,6.996311552
34,0.22021960603022897,0.26052436393660466,0.7594845751548635,0.9958027391820341,0.6778820588469393,0.8001519361057797,0.8004197305118715,41.19049835205078,6.996311552
35,0.21845325837666923,0.2501706819276552,0.766924473415087,0.9956291688455118,0.6877798021242425,0.8049494543591061,0.8080441637619121,36.46084117889404,6.996311552
36,0.2172559514339711,0.24624148353531555,0.7720104638520663,0.9959290752539763,0.6925463571741775,0.8125248728571711,0.81096016152485,40.13745641708374,6.996311552
37,0.2144505967562263,0.2601505832092182,0.766055160546088,0.9959103416752171,0.6894625658924515,0.8045212755332122,0.8041816402126003,40.34926128387451,6.996311552
38,0.21363272190698096,0.24845257602833412,0.7752361903050998,0.9959283889950933,0.7059156262391323,0.8066947766252466,0.8130981680509206,41.19879698753357,6.996311552
39,0.2114264258762469,0.24324240495224256,0.777088903629028,0.9959066381325593,0.7062096031936439,0.8106630283433038,0.8143940793501364,36.66741895675659,6.996311552
