Activation,n_folds,Dice_ET_mean,Dice_ET_sd,Dice_TC_mean,Dice_TC_sd,Dice_WT_mean,Dice_WT_sd,Dice_NCR_mean,Dice_NCR_sd,Dice_ED_mean,Dice_ED_sd,HD95_ET_mean,HD95_ET_sd,HD95_TC_mean,HD95_TC_sd,HD95_WT_mean,HD95_WT_sd,HD95_NCR_mean,HD95_NCR_sd,HD95_ED_mean,HD95_ED_sd,Sens_ET_mean,Sens_ET_sd,Sens_TC_mean,Sens_TC_sd,Sens_WT_mean,Sens_WT_sd,Sens_NCR_mean,Sens_NCR_sd,Sens_ED_mean,Sens_ED_sd,Prec_ET_mean,Prec_ET_sd,Prec_TC_mean,Prec_TC_sd,Prec_WT_mean,Prec_WT_sd,Prec_NCR_mean,Prec_NCR_sd,Prec_ED_mean,Prec_ED_sd
relu,5,0.7543436720706754,0.03670229663217294,0.8274171397094235,0.02686341711972286,0.9026659239261556,0.01497177216164739,0.65534414399957,0.034053290817621325,0.778037839893836,0.02585880059597588,30.460476933742257,13.403873511047298,7.591003263223446,6.995166322661314,2.9786688944729938,2.3946663186821056,11.025969591196958,6.6154229932481,6.072890243816776,4.43833615896736,0.7695085834549757,0.038462400249955966,0.8325029833423045,0.03068978608844807,0.8985899891429284,0.016902547524688116,0.670706166518908,0.032855172389613496,0.7954740410878003,0.027174088261952053,0.7735273800298273,0.03634522673497624,0.8637183325076563,0.020193051813412397,0.921955635902143,0.010810126667474333,0.7299198102873085,0.03176247257419006,0.7938385464367927,0.02277554886562734
swish,5,0.7546302408829252,0.03573510301448808,0.831931167449852,0.027850238647287667,0.9032073122553783,0.01486680265931254,0.6634174569913442,0.03546969479863057,0.7783764255578018,0.021543177310514597,29.815166767023083,12.24987416050411,7.505127111691531,6.93823321744059,2.758493793333038,2.4359081051566447,12.135619549583305,6.829795985907469,5.789912657939153,4.6243208577030686,0.7626386594735922,0.03650924043437964,0.8262699749798006,0.03600808365998444,0.9005036674232217,0.012570792263355574,0.6661838527742919,0.044393069381036356,0.8026355485908534,0.017091774654666967,0.7822424881190052,0.03817308860693922,0.8809567058738678,0.015193859750399906,0.9218024952273043,0.016195735959199993,0.7499941320654924,0.026926711750455204,0.7892733646275093,0.02620392339658755
prelu,5,0.7603638444068554,0.031118368106533446,0.8257166285628921,0.021777538387180707,0.9016506274680797,0.014138206741667853,0.6515875457349892,0.03122270870945272,0.7779429998474455,0.024647507209163963,26.559747713439712,9.12662933051963,7.225929035426853,4.439081158742966,2.141805888542008,0.4413916723712447,11.163643439376468,5.323850552868719,5.155520144923464,2.058202748117068,0.7770823481935164,0.034579491493185295,0.8226320443472742,0.030567684814020737,0.8943108208679744,0.024277306876116428,0.6560805527464699,0.03665578884545559,0.7975839221421378,0.03463980109277378,0.7780522414762683,0.02852426728558575,0.8762067556670485,0.008060325408771926,0.9276931543352134,0.007867450382078279,0.7449707319228741,0.03496919488069771,0.7933742130781521,0.014503864138743144
tanhexp,5,0.7565649637693262,0.035638558271889956,0.830812856439127,0.02246438066683865,0.9023831332596043,0.01778167616394742,0.6599361434246576,0.026516780603378125,0.7795757088709158,0.0242389357445301,29.603103167287276,11.389331453917018,6.947629303018223,6.792699317431136,2.8940332801663553,2.5231147858523353,11.588973143278404,6.065131346730637,5.9454008781918795,4.521941454691678,0.7732054696659517,0.0360532729478578,0.8310876888541061,0.027379143678439893,0.8957465819292297,0.021689799257535367,0.6681951531573505,0.021628668921295356,0.7947726882888598,0.026359191797906648,0.7717873708921003,0.034797447659418015,0.8715827743872806,0.018233370358977426,0.9250658544165808,0.014361461663162402,0.741238225836435,0.03272081104955297,0.7976348253851965,0.016798510869387315
